address,b_mianji,chaoxiang,dianti,display_total_price,gongnuan,huxing,huxing_jiegou,jianzhu_jiegou,jianzhu_leixing,louceng,niandai,sold_date,sold_total_price,t_mianji,traffic,unit_price,zhuangxiu
建材城东一里,73.49㎡          ,南   ,无           ,425挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,2002 ,2019.01.06 成交,395万,暂无数据         ,暂无数据,53749元/平,简装     
中泽家园,89.38㎡          ,南 北   ,无           ,339挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,低楼层(共6层)          ,2000 ,2019.01.06 成交,333万,79.37㎡         ,暂无数据,37257元/平,简装     
枣营北里,61.74㎡          ,南 北   ,有           ,440挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,高楼层(共18层)          ,1996 ,2019.01.06 成交,440万,暂无数据         ,近地铁,71267元/平,简装     
郁金香舍,106.74㎡          ,南 北   ,无           ,602挂牌价格（万）,集中供暖        ,2室2厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共6层)          ,2004 ,2019.01.06 成交,575万,92.92㎡         ,暂无数据,53870元/平,精装     
DBC加州小镇C区,133.83㎡          ,南 北   ,有           ,639挂牌价格（万）,自供暖        ,3室2厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共15层)          ,2010 ,2019.01.06 成交,629万,105.38㎡         ,暂无数据,47000元/平,简装     
首开缇香郡,56.63㎡          ,南   ,暂无数据           ,180挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共16层)          ,2015 ,2019.01.06 成交,176万,42.19㎡         ,,31079元/平,简装     
柏林爱乐三期,94.25㎡          ,南 北   ,有           ,520挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,暂无数据              ,钢混结构  ,板楼       ,中楼层(共15层)          ,2007 ,2019.01.06 成交,500.9万,72.23㎡         ,近地铁,53146元/平,简装     
天通苑北二区,135.97㎡          ,南 北   ,有           ,495挂牌价格（万）,集中供暖        ,3室1厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,高楼层(共12层)          ,2005 ,2019.01.06 成交,493万,119.77㎡         ,暂无数据,36258元/平,简装     
靓景明居,125.32㎡          ,南 北   ,有           ,614挂牌价格（万）,集中供暖        ,3室1厅1厨2卫        ,平层              ,钢混结构  ,板塔结合       ,中楼层(共12层)          ,2005 ,2019.01.06 成交,592.5万,106.15㎡         ,暂无数据,47279元/平,精装     
兰园,80.99㎡          ,南 北   ,无           ,568挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1994 ,2019.01.06 成交,560万,暂无数据         ,近地铁,69145元/平,简装     
西山华府,206.46㎡          ,南 北   ,有           ,1820挂牌价格（万）,集中供暖        ,3室2厅1厨3卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共8层)          ,2008 ,2019.01.06 成交,1800万,175.49㎡         ,近地铁,87184元/平,精装     
观景园,122.07㎡          ,南 西 北   ,有           ,950挂牌价格（万）,集中供暖        ,3室2厅1厨2卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,2011 ,2019.01.06 成交,925万,101.91㎡         ,,75777元/平,毛坯     
新康街3号院,61.5㎡          ,南 北   ,无           ,760挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1991 ,2019.01.06 成交,715万,暂无数据         ,暂无数据,116261元/平,其他     
明悦湾,98.33㎡          ,南 北   ,有           ,480挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,底层(共9层)          ,2011 ,2019.01.06 成交,462万,78.69㎡         ,近地铁,46985元/平,精装     
远洋一方林语苑,68.01㎡          ,东北   ,有           ,345挂牌价格（万）,自供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,高楼层(共18层)          ,2009 ,2019.01.06 成交,330万,54.79㎡         ,暂无数据,48523元/平,精装     
德露苑,80.66㎡          ,南 北   ,无           ,300挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1997 ,2019.01.06 成交,282万,暂无数据         ,暂无数据,34962元/平,简装     
绿岛苑西区,83.84㎡          ,西南   ,有           ,315挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,底层(共24层)          ,1998 ,2019.01.06 成交,310万,暂无数据         ,暂无数据,36976元/平,简装     
苹果园小区三区,74.75㎡          ,东南   ,有           ,359挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,低楼层(共16层)          ,1995 ,2019.01.06 成交,353万,暂无数据         ,近地铁,47225元/平,其他     
卧龙小区,184.7㎡          ,西北   ,有           ,1160挂牌价格（万）,集中供暖        ,4室2厅1厨3卫        ,平层              ,钢混结构  ,塔楼       ,中楼层(共18层)          ,1997 ,2019.01.06 成交,1088万,暂无数据         ,近地铁,58907元/平,简装     
北纬40度一期,86.7㎡          ,南   ,有           ,660挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,高楼层(共29层)          ,2008 ,2019.01.06 成交,635万,64.15㎡         ,近地铁,73242元/平,精装     
新华联锦园,93.32㎡          ,南 北   ,无           ,435挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,2003 ,2019.01.06 成交,418万,84.18㎡         ,近地铁,44793元/平,简装     
